otu_ID,asv_ID,asv_ID_top,Phylum,Class,Order,Family,Genus,Species
1,ASV_3914,ASV_3914,Nematoda,NA,NA,NA,NA,NA
2,ASV_3868,ASV_3868,Nematoda,NA,NA,NA,NA,NA
3,ASV_3365,ASV_3365,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
4,ASV_3151,ASV_3151,Nematoda,Chromadorea,NA,NA,NA,NA
5,ASV_1269,ASV_1269,Nematoda,Chromadorea,NA,NA,NA,NA
5,ASV_3052,ASV_1269,Nematoda,Chromadorea,NA,NA,NA,NA
6,ASV_3025,ASV_3025,Nematoda,Chromadorea,NA,NA,NA,NA
6,ASV_474,ASV_3025,Nematoda,Chromadorea,NA,NA,NA,NA
6,ASV_620,ASV_3025,Nematoda,Chromadorea,NA,NA,NA,NA
7,ASV_1022,ASV_1022,Nematoda,Chromadorea,NA,NA,NA,NA
7,ASV_208,ASV_1022,Nematoda,Chromadorea,NA,NA,NA,NA
7,ASV_2846,ASV_1022,Nematoda,Chromadorea,NA,NA,NA,NA
7,ASV_948,ASV_1022,Nematoda,Chromadorea,NA,NA,NA,NA
8,ASV_2596,ASV_2596,Nematoda,NA,NA,NA,NA,NA
9,ASV_1596,ASV_1596,Nematoda,Chromadorea,Strongylida,NA,NA,NA
9,ASV_2404,ASV_1596,Nematoda,Chromadorea,Strongylida,NA,NA,NA
9,ASV_450,ASV_1596,Nematoda,Chromadorea,Strongylida,NA,NA,NA
9,ASV_541,ASV_1596,Nematoda,Chromadorea,Strongylida,NA,NA,NA
9,ASV_891,ASV_1596,Nematoda,Chromadorea,Strongylida,NA,NA,NA
10,ASV_2714,ASV_2714,Nematoda,Chromadorea,Strongylida,NA,NA,NA
11,ASV_1013,ASV_1013,Nematoda,Chromadorea,NA,NA,NA,NA
11,ASV_1465,ASV_1013,Nematoda,Chromadorea,NA,NA,NA,NA
11,ASV_2168,ASV_1013,Nematoda,Chromadorea,NA,NA,NA,NA
12,ASV_2011,ASV_2011,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
12,ASV_2400,ASV_2011,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
13,ASV_1904,ASV_1904,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
13,ASV_2807,ASV_1904,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
13,ASV_540,ASV_1904,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
14,ASV_1577,ASV_1577,Nematoda,NA,NA,NA,NA,NA
15,ASV_1483,ASV_1483,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Helicotylenchus,Helicotylenchus_multicinctus
15,ASV_1970,ASV_1483,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Helicotylenchus,Helicotylenchus_multicinctus
15,ASV_231,ASV_1483,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Helicotylenchus,Helicotylenchus_multicinctus
16,ASV_1184,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_1358,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_1360,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_1653,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_1886,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_1965,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_3594,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
16,ASV_4028,ASV_1653,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
17,ASV_1497,ASV_1497,Nematoda,Chromadorea,NA,NA,NA,NA
17,ASV_2503,ASV_1497,Nematoda,Chromadorea,NA,NA,NA,NA
18,ASV_1239,ASV_1239,Nematoda,NA,NA,NA,NA,NA
18,ASV_132,ASV_1239,Nematoda,NA,NA,NA,NA,NA
18,ASV_1629,ASV_1239,Nematoda,NA,NA,NA,NA,NA
18,ASV_191,ASV_1239,Nematoda,NA,NA,NA,NA,NA
18,ASV_298,ASV_1239,Nematoda,NA,NA,NA,NA,NA
18,ASV_780,ASV_1239,Nematoda,NA,NA,NA,NA,NA
19,ASV_1129,ASV_1129,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
19,ASV_1221,ASV_1129,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
20,ASV_1304,ASV_1304,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
20,ASV_1340,ASV_1304,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
20,ASV_1595,ASV_1304,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_1066,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_1437,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_1713,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_1987,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_439,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
21,ASV_447,ASV_1066,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
22,ASV_1017,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_1131,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_1194,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_1439,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_1557,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_3089,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_3676,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_784,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_839,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
22,ASV_965,ASV_1017,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_1414,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_1958,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_2393,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_2695,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_277,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_2837,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
23,ASV_416,ASV_277,Nematoda,Chromadorea,NA,NA,NA,NA
24,ASV_1478,ASV_1478,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
24,ASV_2546,ASV_1478,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
24,ASV_885,ASV_1478,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_1008,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_1419,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_1441,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_1477,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_1535,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
25,ASV_633,ASV_1008,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_1282,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_1292,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_1317,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_1565,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_1824,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2286,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2425,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2426,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2617,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2754,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2877,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_2943,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_3013,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_365,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
26,ASV_451,ASV_451,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
27,ASV_2818,ASV_2818,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
28,ASV_1032,ASV_1032,Nematoda,Chromadorea,NA,NA,NA,NA
28,ASV_1154,ASV_1032,Nematoda,Chromadorea,NA,NA,NA,NA
28,ASV_3384,ASV_1032,Nematoda,Chromadorea,NA,NA,NA,NA
28,ASV_3579,ASV_1032,Nematoda,Chromadorea,NA,NA,NA,NA
28,ASV_4234,ASV_1032,Nematoda,Chromadorea,NA,NA,NA,NA
29,ASV_1786,ASV_1786,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
30,ASV_2279,ASV_2279,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
30,ASV_699,ASV_2279,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
31,ASV_642,ASV_642,Nematoda,NA,NA,NA,NA,NA
32,ASV_1004,ASV_1004,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
32,ASV_529,ASV_1004,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
33,ASV_517,ASV_517,Nematoda,Chromadorea,NA,NA,NA,NA
33,ASV_938,ASV_517,Nematoda,Chromadorea,NA,NA,NA,NA
34,ASV_650,ASV_650,Nematoda,Chromadorea,NA,NA,NA,NA
35,ASV_250,ASV_250,Nematoda,Chromadorea,NA,NA,NA,NA
35,ASV_966,ASV_250,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_1138,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_1177,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_1583,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_202,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_304,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_476,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
36,ASV_794,ASV_1138,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_1073,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_1353,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_1939,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_2411,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_2661,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_2944,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
37,ASV_3242,ASV_1073,Nematoda,Chromadorea,NA,NA,NA,NA
38,ASV_2700,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
38,ASV_2701,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
38,ASV_2899,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
38,ASV_2954,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
38,ASV_3412,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
38,ASV_3636,ASV_2700,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
39,ASV_1455,ASV_1455,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
39,ASV_1559,ASV_1455,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
39,ASV_1966,ASV_1455,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
40,ASV_2061,ASV_2061,Nematoda,Chromadorea,NA,NA,NA,NA
40,ASV_2156,ASV_2061,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_1187,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_350,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_490,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_582,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_688,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_749,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
41,ASV_917,ASV_1187,Nematoda,Chromadorea,NA,NA,NA,NA
42,ASV_1386,ASV_1386,Nematoda,NA,NA,NA,NA,NA
42,ASV_428,ASV_1386,Nematoda,NA,NA,NA,NA,NA
43,ASV_1070,ASV_1070,Nematoda,NA,NA,NA,NA,NA
43,ASV_618,ASV_1070,Nematoda,NA,NA,NA,NA,NA
43,ASV_933,ASV_1070,Nematoda,NA,NA,NA,NA,NA
44,ASV_328,ASV_328,Nematoda,Chromadorea,NA,NA,NA,NA
44,ASV_405,ASV_328,Nematoda,Chromadorea,NA,NA,NA,NA
44,ASV_493,ASV_328,Nematoda,Chromadorea,NA,NA,NA,NA
45,ASV_1581,ASV_1581,Nematoda,NA,NA,NA,NA,NA
45,ASV_1909,ASV_1581,Nematoda,NA,NA,NA,NA,NA
45,ASV_605,ASV_1581,Nematoda,NA,NA,NA,NA,NA
45,ASV_893,ASV_1581,Nematoda,NA,NA,NA,NA,NA
46,ASV_1227,ASV_1227,Nematoda,NA,NA,NA,NA,NA
46,ASV_1712,ASV_1227,Nematoda,NA,NA,NA,NA,NA
47,ASV_1058,ASV_1058,Nematoda,NA,NA,NA,NA,NA
47,ASV_681,ASV_1058,Nematoda,NA,NA,NA,NA,NA
48,ASV_3047,ASV_3047,Nematoda,Chromadorea,NA,NA,NA,NA
48,ASV_3077,ASV_3047,Nematoda,Chromadorea,NA,NA,NA,NA
49,ASV_126,ASV_126,Nematoda,NA,NA,NA,NA,NA
49,ASV_525,ASV_126,Nematoda,NA,NA,NA,NA,NA
49,ASV_720,ASV_126,Nematoda,NA,NA,NA,NA,NA
50,ASV_1380,ASV_1380,Nematoda,NA,NA,NA,NA,NA
51,ASV_1438,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
51,ASV_1777,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
51,ASV_2166,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
51,ASV_2257,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
51,ASV_3094,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
51,ASV_555,ASV_1438,Nematoda,Chromadorea,NA,NA,NA,NA
52,ASV_1776,ASV_1776,Nematoda,Chromadorea,NA,NA,NA,NA
52,ASV_2569,ASV_1776,Nematoda,Chromadorea,NA,NA,NA,NA
52,ASV_395,ASV_1776,Nematoda,Chromadorea,NA,NA,NA,NA
53,ASV_1652,ASV_1652,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
53,ASV_1808,ASV_1652,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
53,ASV_2280,ASV_1652,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
53,ASV_2445,ASV_1652,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
53,ASV_2531,ASV_1652,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
54,ASV_1023,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_1166,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_1204,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_1210,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_1342,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_929,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
54,ASV_937,ASV_1023,Nematoda,Chromadorea,NA,NA,NA,NA
55,ASV_600,ASV_600,Nematoda,Chromadorea,NA,NA,NA,NA
55,ASV_985,ASV_600,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_1427,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_1666,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_2204,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_2390,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_2414,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
56,ASV_3308,ASV_1427,Nematoda,Chromadorea,NA,NA,NA,NA
57,ASV_1237,ASV_1237,Nematoda,Chromadorea,NA,NA,NA,NA
57,ASV_1530,ASV_1237,Nematoda,Chromadorea,NA,NA,NA,NA
57,ASV_1900,ASV_1237,Nematoda,Chromadorea,NA,NA,NA,NA
57,ASV_811,ASV_1237,Nematoda,Chromadorea,NA,NA,NA,NA
58,ASV_1306,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_1442,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_388,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_648,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_802,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_987,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
58,ASV_993,ASV_1306,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
59,ASV_1318,ASV_1318,Nematoda,Chromadorea,NA,NA,NA,NA
59,ASV_1699,ASV_1318,Nematoda,Chromadorea,NA,NA,NA,NA
59,ASV_347,ASV_1318,Nematoda,Chromadorea,NA,NA,NA,NA
60,ASV_2356,ASV_2356,Nematoda,Chromadorea,NA,NA,NA,NA
60,ASV_2508,ASV_2356,Nematoda,Chromadorea,NA,NA,NA,NA
61,ASV_1683,ASV_1683,Nematoda,Chromadorea,NA,NA,NA,NA
61,ASV_2243,ASV_1683,Nematoda,Chromadorea,NA,NA,NA,NA
61,ASV_591,ASV_1683,Nematoda,Chromadorea,NA,NA,NA,NA
62,ASV_1312,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_1335,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_1844,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_1960,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_2096,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_2665,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_342,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_528,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_756,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_821,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
62,ASV_904,ASV_1844,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
63,ASV_1261,ASV_301,Nematoda,NA,NA,NA,NA,NA
63,ASV_3003,ASV_301,Nematoda,NA,NA,NA,NA,NA
63,ASV_301,ASV_301,Nematoda,NA,NA,NA,NA,NA
63,ASV_3292,ASV_301,Nematoda,NA,NA,NA,NA,NA
64,ASV_166,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
64,ASV_272,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
64,ASV_344,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
64,ASV_359,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
64,ASV_460,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
64,ASV_790,ASV_166,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
65,ASV_2634,ASV_2634,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
66,ASV_3316,ASV_3316,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
66,ASV_4424,ASV_3316,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_2469,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_2697,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_2826,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_2841,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_3192,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
67,ASV_3326,ASV_2469,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
68,ASV_1284,ASV_1284,Nematoda,NA,NA,NA,NA,NA
68,ASV_2850,ASV_1284,Nematoda,NA,NA,NA,NA,NA
68,ASV_2984,ASV_1284,Nematoda,NA,NA,NA,NA,NA
68,ASV_2991,ASV_1284,Nematoda,NA,NA,NA,NA,NA
68,ASV_696,ASV_1284,Nematoda,NA,NA,NA,NA,NA
69,ASV_2235,ASV_264,Nematoda,Chromadorea,NA,NA,NA,NA
69,ASV_264,ASV_264,Nematoda,Chromadorea,NA,NA,NA,NA
69,ASV_287,ASV_264,Nematoda,Chromadorea,NA,NA,NA,NA
70,ASV_1247,ASV_1247,Nematoda,Chromadorea,NA,NA,NA,NA
70,ASV_3901,ASV_1247,Nematoda,Chromadorea,NA,NA,NA,NA
71,ASV_2195,ASV_2195,Nematoda,Chromadorea,NA,NA,NA,NA
72,ASV_101,ASV_101,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
72,ASV_296,ASV_101,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
72,ASV_345,ASV_101,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
72,ASV_941,ASV_101,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
73,ASV_3086,ASV_3086,Nematoda,NA,NA,NA,NA,NA
73,ASV_3364,ASV_3086,Nematoda,NA,NA,NA,NA,NA
74,ASV_2320,ASV_2320,Nematoda,Chromadorea,NA,NA,NA,NA
74,ASV_3193,ASV_2320,Nematoda,Chromadorea,NA,NA,NA,NA
74,ASV_4015,ASV_2320,Nematoda,Chromadorea,NA,NA,NA,NA
74,ASV_4106,ASV_2320,Nematoda,Chromadorea,NA,NA,NA,NA
75,ASV_1772,ASV_1772,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
75,ASV_2260,ASV_1772,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
75,ASV_3093,ASV_1772,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
75,ASV_3413,ASV_1772,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
76,ASV_1783,ASV_1783,Nematoda,Chromadorea,NA,NA,NA,NA
76,ASV_1971,ASV_1783,Nematoda,Chromadorea,NA,NA,NA,NA
77,ASV_727,ASV_727,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
77,ASV_789,ASV_727,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
78,ASV_2797,ASV_2797,Nematoda,Chromadorea,NA,NA,NA,NA
78,ASV_3030,ASV_2797,Nematoda,Chromadorea,NA,NA,NA,NA
78,ASV_3108,ASV_2797,Nematoda,Chromadorea,NA,NA,NA,NA
78,ASV_3251,ASV_2797,Nematoda,Chromadorea,NA,NA,NA,NA
78,ASV_3911,ASV_2797,Nematoda,Chromadorea,NA,NA,NA,NA
79,ASV_1348,ASV_1348,Nematoda,Chromadorea,NA,NA,NA,NA
79,ASV_1811,ASV_1348,Nematoda,Chromadorea,NA,NA,NA,NA
80,ASV_2124,ASV_2124,Nematoda,Chromadorea,NA,NA,NA,NA
80,ASV_3007,ASV_2124,Nematoda,Chromadorea,NA,NA,NA,NA
80,ASV_3017,ASV_2124,Nematoda,Chromadorea,NA,NA,NA,NA
80,ASV_3806,ASV_2124,Nematoda,Chromadorea,NA,NA,NA,NA
81,ASV_422,ASV_422,Nematoda,NA,NA,NA,NA,NA
81,ASV_581,ASV_422,Nematoda,NA,NA,NA,NA,NA
82,ASV_1574,ASV_1574,Nematoda,Chromadorea,NA,NA,NA,NA
82,ASV_1722,ASV_1574,Nematoda,Chromadorea,NA,NA,NA,NA
83,ASV_224,ASV_224,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
83,ASV_260,ASV_224,Nematoda,Chromadorea,Rhabditida,NA,NA,NA
84,ASV_1012,ASV_27,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,NA
84,ASV_112,ASV_27,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,NA
